spotify_id,artist,track,file_path,genre,valence,arousal,colour
1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,spotify_audio/0.mp3,pop,4.101998329162598,5.4814229011535645,red
0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,spotify_audio/1.mp3,pop,3.7354588508605957,5.142622470855713,red
7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,spotify_audio/2.mp3,pop,5.178768634796143,4.5128607749938965,red
1LLmT2hZ415NaAz1cmZCBM,David Guetta,I'm Good (Blue),spotify_audio/3.mp3,disco,6.5257110595703125,6.1101226806640625,blue
0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,spotify_audio/4.mp3,pop,5.6100263595581055,4.995327949523926,blue
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,spotify_audio/5.mp3,pop,5.365045070648193,5.095065116882324,blue
3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,spotify_audio/6.mp3,country,3.984151840209961,5.488763809204102,red
0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely (with Khalid),spotify_audio/7.mp3,pop,3.9859917163848877,3.4569973945617676,red
4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,spotify_audio/8.mp3,pop,3.8963494300842285,4.595221519470215,red
3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,spotify_audio/9.mp3,pop,5.293418884277344,5.753134727478027,blue
0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,spotify_audio/10.mp3,rock,5.33860969543457,4.006206512451172,red
0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,spotify_audio/11.mp3,pop,5.344819068908691,3.188351631164551,purple
4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,spotify_audio/12.mp3,pop,4.623342990875244,4.5930304527282715,red
5LrN7yUQAzvthd4QujgPFr,d4vd,Here With Me,spotify_audio/13.mp3,pop,4.676432132720947,4.170039176940918,red
6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,spotify_audio/14.mp3,pop,4.2757697105407715,4.627045154571533,red
21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,spotify_audio/15.mp3,pop,4.44822883605957,5.317717552185059,red
6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,spotify_audio/16.mp3,pop,4.147623062133789,5.371167182922363,red
